,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
0,VABB,01/0030,010100Z,010500Z,250,17KT,27KT,,FCST
1,VABB,01/0430,010500Z,010900Z,250,17KT,30KT,,FCST
2,VABB,01/1230,011300Z,011700Z,250,17KT,27KT,,FCST
3,VABB,01/1630,011700Z,012100Z,250,17KT,27KT,,FCST
4,VABB,01/2030,012100Z,020100Z,250,17KT,27KT,,FCST
5,VABB,02/0100,020130Z,020530Z,270,17KT,27KT,,FCST
6,VABB,02/0500,020530Z,020930Z,250,17KT,27KT,,FCST
7,VABB,02/0600,020630Z,021030Z,270,17KT,30KT,TSRA,FCST
8,VABB,02/1000,021030Z,021430Z,250,17KT,30KT,-TSRA,FCST
9,VABB,02/1400,021430Z,021830Z,250,17KT,30KT,-TSRA,FCST
10,VABB,02/1800,021830Z,022230Z,250,17KT,27KT,,FCST
11,VABB,02/2215,022230Z,030230Z,250,17KT,27KT,,FCST
12,VABB,03/0200,030230Z,030630Z,250,17KT,27KT,,FCST
13,VABB,03/0600,030630Z,031030Z,250,17KT,30KT,,FCST
14,VABB,03/1000,031030Z,031430Z,250,17KT,27KT,,FCST
15,VABB,03/1400,031430Z,031830Z,230,17KT,27KT,,FCST
16,VABB,03/1630,031630Z,032030Z,250,17KT,35KT,,OBS
17,VABB,03/2000,032030Z,040030Z,250,17KT,35KT,,FCST
18,VABB,04/0040,040400Z,040500Z,250,17KT,35KT,,FCST
19,VABB,04/0445,040500Z,040900Z,230,17KT,27KT,,FCST
20,VABB,04/0830,040900Z,041300Z,230,17KT,27KT,,FCST
21,VABB,04/1230,041300Z,041700Z,250,17KT,27KT,,FCST
22,VABB,04/1630,041700Z,042100Z,250,17KT,27KT,,FCST
23,VABB,04/2030,042100Z,050100Z,250,17KT,27KT,,FCST
24,VABB,05/0030,050100Z,050500Z,250,17KT,27KT,,FCST
25,VABB,05/0430,050500Z,050900Z,250,17KT,27KT,,FCST
26,VABB,05/0830,050900Z,051300Z,250,17KT,30KT,,FCST
27,VABB,05/1230,051300Z,051700Z,270,17KT,30KT,,FCST
28,VABB,05/1700,051730Z,052130Z,250,17KT,27KT,,FCST
29,VABB,05/2100,052130Z,060130Z,250,17KT,27KT,,FCST
30,VABB,06/0100,060130Z,060530Z,250,17KT,27KT,,FCST
31,VABB,06/0230,060300Z,060700Z,250,17KT,30KT,TSRA,FCST
32,VABB,06/0645,060700Z,061100Z,250,17KT,30KT,TSRA,FCST
33,VABB,06/1045,061100Z,061500Z,250,17KT,35KT,,FCST
34,VABB,06/1430,061500Z,061900Z,250,17KT,27KT,,FCST
35,VABB,06/1830,061900Z,062300Z,250,17KT,27KT,,FCST
36,VABB,06/2230,062300Z,070300Z,250,17KT,30KT,,FCST
37,VABB,07/0230,070300Z,070700Z,250,17KT,30KT,,FCST
