DAY,TIME,WIND_DIR,WIND_SPEED,TEMP,QNH
04,2000Z,0.0,0.0,28.0,1010.0
04,2030Z,0.0,0.0,28.0,1010.0
04,2100Z,0.0,0.0,27.0,1010.0
04,2130Z,0.0,0.0,27.0,1010.0
04,2200Z,0.0,0.0,27.0,1010.0
04,2230Z,0.0,0.0,27.0,1009.0
04,2300Z,0.0,0.0,27.0,1009.0
04,2330Z,320.0,4.0,27.0,1010.0
05,0000Z,0.0,0.0,27.0,1010.0
05,0030Z,310.0,3.0,27.0,1010.0
05,0100Z,0.0,0.0,27.0,1010.0
05,0130Z,0.0,0.0,27.0,1011.0
05,0200Z,0.0,0.0,27.0,1011.0
05,0230Z,70.0,3.0,27.0,1011.0
05,0300Z,70.0,3.0,28.0,1012.0
05,0330Z,0.0,0.0,30.0,1012.0
05,0400Z,0.0,0.0,31.0,1012.0
05,0430Z,280.0,3.0,32.0,1012.0
05,0500Z,350.0,3.0,34.0,1012.0
05,0530Z,240.0,4.0,34.0,1012.0
05,0600Z,260.0,3.0,36.0,1011.0
05,0630Z,250.0,10.0,35.0,1011.0
05,0700Z,240.0,8.0,34.0,1011.0
05,0730Z,250.0,10.0,34.0,1010.0
05,0800Z,250.0,9.0,34.0,1010.0
05,0830Z,270.0,10.0,35.0,1009.0
05,0900Z,260.0,12.0,34.0,1009.0
05,0930Z,260.0,10.0,34.0,1008.0
05,1000Z,250.0,9.0,32.0,1007.0
05,1030Z,250.0,10.0,33.0,1007.0
05,1100Z,240.0,7.0,33.0,1007.0
05,1200Z,270.0,12.0,33.0,1007.0
05,1230Z,270.0,12.0,32.0,1007.0
05,1300Z,260.0,9.0,31.0,1007.0
05,1330Z,270.0,8.0,31.0,1007.0
05,1400Z,280.0,9.0,31.0,1008.0
05,1430Z,270.0,5.0,30.0,1008.0
05,1500Z,270.0,6.0,30.0,1008.0
05,1530Z,270.0,4.0,30.0,1009.0
05,1600Z,0.0,0.0,30.0,1009.0
05,1630Z,0.0,0.0,29.0,1009.0
05,1700Z,0.0,0.0,29.0,1009.0
05,1730Z,210.0,3.0,29.0,1009.0
05,1830Z,220.0,3.0,28.0,1009.0
05,1900Z,250.0,3.0,28.0,1009.0
05,2030Z,280.0,7.0,28.0,1008.0
05,2100Z,280.0,6.0,28.0,1008.0
05,2130Z,280.0,7.0,28.0,1008.0
05,2200Z,310.0,3.0,28.0,1008.0
05,2230Z,0.0,0.0,28.0,1008.0
05,2300Z,0.0,0.0,27.0,1008.0
05,2330Z,0.0,0.0,27.0,1008.0
06,0000Z,0.0,0.0,27.0,1008.0
06,0030Z,0.0,0.0,27.0,1008.0
06,0100Z,0.0,0.0,26.0,1009.0
06,0130Z,0.0,0.0,27.0,1009.0
06,0200Z,0.0,0.0,27.0,1009.0
06,0230Z,100.0,3.0,28.0,1010.0
06,0400Z,0.0,0.0,31.0,1011.0
06,0430Z,0.0,0.0,33.0,1011.0
06,0500Z,90.0,3.0,34.0,1011.0
06,0530Z,0.0,0.0,35.0,1011.0
06,0630Z,220.0,8.0,32.0,1010.0
06,0700Z,200.0,7.0,32.0,1010.0
06,0730Z,210.0,8.0,32.0,1009.0
06,0800Z,220.0,8.0,32.0,1008.0
06,0830Z,210.0,9.0,32.0,1008.0
06,0900Z,230.0,8.0,32.0,1007.0
06,0930Z,250.0,9.0,32.0,1007.0
06,1000Z,250.0,10.0,32.0,1007.0
06,1030Z,260.0,12.0,31.0,1006.0
06,1100Z,260.0,10.0,31.0,1006.0
06,1130Z,250.0,8.0,31.0,1006.0
06,1200Z,250.0,9.0,30.0,1006.0
06,1230Z,240.0,8.0,30.0,1007.0
06,1300Z,240.0,6.0,30.0,1007.0
06,1330Z,240.0,6.0,29.0,1007.0
06,1400Z,230.0,3.0,29.0,1008.0
06,1430Z,0.0,0.0,29.0,1008.0
06,1500Z,0.0,0.0,29.0,1008.0
06,1530Z,0.0,0.0,29.0,1008.0
06,1600Z,0.0,0.0,29.0,1009.0
06,1630Z,0.0,0.0,29.0,1009.0
