DAY,TIME,WIND_DIR,WIND_SPEED,TEMP,QNH
01,0000Z,0.0,0.0,28.0,1008.0
01,0030Z,50.0,5.0,29.0,1009.0
01,0100Z,40.0,4.0,28.0,1009.0
01,0130Z,80.0,5.0,28.0,1009.0
01,0200Z,40.0,4.0,28.0,1009.0
01,0230Z,90.0,4.0,28.0,1010.0
01,0300Z,40.0,6.0,29.0,1010.0
01,0330Z,340.0,4.0,29.0,1010.0
01,0400Z,20.0,6.0,29.0,1010.0
01,0430Z,30.0,6.0,31.0,1010.0
01,0500Z,30.0,6.0,31.0,1010.0
01,0530Z,60.0,4.0,31.0,1010.0
01,0600Z,260.0,7.0,31.0,1010.0
01,0630Z,270.0,7.0,31.0,1009.0
01,0700Z,300.0,8.0,32.0,1009.0
01,0730Z,260.0,14.0,31.0,1009.0
01,0800Z,270.0,7.0,31.0,1008.0
01,0830Z,290.0,10.0,31.0,1008.0
01,0900Z,280.0,12.0,32.0,1007.0
01,0930Z,290.0,9.0,32.0,1007.0
01,1000Z,300.0,9.0,32.0,1007.0
01,1030Z,300.0,12.0,31.0,1007.0
01,1100Z,310.0,7.0,31.0,1006.0
01,1130Z,300.0,11.0,31.0,1007.0
01,1200Z,290.0,7.0,30.0,1007.0
01,1230Z,280.0,7.0,30.0,1007.0
01,1300Z,310.0,10.0,30.0,1007.0
01,1330Z,320.0,8.0,30.0,1007.0
01,1400Z,320.0,8.0,29.0,1007.0
01,1430Z,310.0,6.0,29.0,1008.0
01,1500Z,320.0,6.0,30.0,1008.0
01,1530Z,320.0,5.0,30.0,1008.0
01,1600Z,290.0,5.0,30.0,1009.0
01,1630Z,310.0,5.0,29.0,1009.0
01,1700Z,310.0,5.0,29.0,1009.0
01,1730Z,310.0,5.0,29.0,1009.0
01,1800Z,330.0,5.0,29.0,1009.0
01,1830Z,310.0,8.0,29.0,1009.0
01,1900Z,310.0,6.0,29.0,1009.0
01,1930Z,310.0,8.0,29.0,1008.0
01,2000Z,290.0,5.0,29.0,1008.0
01,2030Z,320.0,4.0,29.0,1008.0
01,2100Z,250.0,7.0,29.0,1008.0
01,2130Z,280.0,7.0,29.0,1008.0
01,2200Z,330.0,4.0,29.0,1008.0
01,2300Z,280.0,8.0,29.0,1007.0
01,2330Z,240.0,7.0,28.0,1008.0
02,0000Z,280.0,6.0,28.0,1008.0
02,0030Z,280.0,4.0,28.0,1008.0
02,0100Z,80.0,7.0,27.0,1009.0
02,0130Z,40.0,7.0,27.0,1009.0
02,0200Z,30.0,6.0,27.0,1009.0
02,0230Z,360.0,7.0,27.0,1009.0
02,0300Z,60.0,6.0,27.0,1010.0
02,0330Z,120.0,5.0,27.0,1010.0
02,0400Z,210.0,5.0,27.0,1010.0
02,0430Z,250.0,6.0,27.0,1011.0
02,0500Z,220.0,7.0,27.0,1011.0
02,0530Z,240.0,4.0,26.0,1010.0
02,0600Z,200.0,4.0,27.0,1010.0
02,0630Z,260.0,4.0,27.0,1010.0
02,0700Z,130.0,5.0,29.0,1010.0
02,0730Z,310.0,3.0,29.0,1009.0
02,0800Z,320.0,5.0,29.0,1009.0
02,0830Z,300.0,4.0,29.0,1009.0
