DAY_actual,TIME_actual,WIND_DIR_actual,WIND_SPEED_actual,TEMP_actual,QNH_actual,DATETIME,DAY_forecast,TIME_forecast,WIND_DIR_forecast,WIND_SPEED_forecast,TEMP_forecast,QFE,QNH_forecast,Accuracy
01,0000Z,0.0,0.0,28.0,1007.0,01 0000Z,1,0000Z,0,0,28,1008,1009,Not Accurate
01,0100Z,0.0,0.0,28.0,1007.0,01 0100Z,1,0100Z,70,4,28,1008,1009,Not Accurate
01,0200Z,260.0,3.0,28.0,1008.0,01 0200Z,1,0200Z,90,4,29,1009,1010,Not Accurate
01,0300Z,310.0,5.0,28.0,1008.0,01 0300Z,1,0300Z,110,5,29,1009,1010,Not Accurate
01,0400Z,60.0,3.0,29.0,1009.0,01 0400Z,1,0400Z,130,5,29,1010,1011,Not Accurate
01,0500Z,30.0,4.0,31.0,1009.0,01 0500Z,1,0500Z,30,5,30,1010,1011,Not Accurate
01,0600Z,50.0,4.0,33.0,1008.0,01 0600Z,1,0600Z,270,10,31,1009,1010,Not Accurate
01,0700Z,90.0,7.0,34.0,1008.0,01 0700Z,1,0700Z,290,8,32,1008,1009,Not Accurate
01,0800Z,90.0,5.0,36.0,1007.0,01 0800Z,1,0800Z,300,10,33,1007,1008,Not Accurate
01,0900Z,70.0,3.0,36.0,1005.0,01 0900Z,1,0900Z,290,12,33,1007,1008,Not Accurate
01,1000Z,300.0,7.0,31.0,1005.0,01 1000Z,1,1000Z,280,12,32,1006,1007,Not Accurate
01,1100Z,300.0,7.0,30.0,1005.0,01 1100Z,1,1100Z,290,12,32,1006,1007,Not Accurate
01,1200Z,300.0,7.0,30.0,1005.0,01 1200Z,1,1200Z,300,11,31,1006,1007,Not Accurate
01,1300Z,0.0,0.0,30.0,1005.0,01 1300Z,1,1300Z,290,10,29,1006,1007,Not Accurate
01,1400Z,240.0,4.0,29.0,1006.0,01 1400Z,1,1400Z,290,8,29,1007,1008,Not Accurate
01,1500Z,310.0,3.0,29.0,1006.0,01 1500Z,1,1500Z,290,8,29,1007,1008,Not Accurate
01,1600Z,240.0,3.0,29.0,1007.0,01 1600Z,1,1600Z,320,7,28,1008,1009,Not Accurate
01,1700Z,220.0,4.0,29.0,1007.0,01 1700Z,1,1700Z,320,7,28,1008,1009,Not Accurate
01,1800Z,210.0,4.0,29.0,1008.0,01 1800Z,1,1800Z,320,6,28,1008,1009,Not Accurate
01,1900Z,130.0,6.0,29.0,1007.0,01 1900Z,1,1900Z,300,5,28,1007,1008,Not Accurate
01,2000Z,140.0,4.0,28.0,1007.0,01 2000Z,1,2000Z,300,5,28,1007,1008,Not Accurate
01,2100Z,10.0,5.0,29.0,1006.0,01 2100Z,1,2100Z,300,5,28,1006,1007,Not Accurate
01,2200Z,350.0,3.0,28.0,1006.0,01 2200Z,1,2200Z,310,5,28,1006,1007,Not Accurate
01,2300Z,0.0,0.0,28.0,1006.0,01 2300Z,1,2300Z,310,5,27,1006,1007,Not Accurate
02,0100Z,0.0,0.0,28.0,1007.0,02 0100Z,2,0100Z,320,5,27,1007,1008,Not Accurate
02,0200Z,80.0,3.0,29.0,1007.0,02 0200Z,2,0200Z,320,5,28,1008,1009,Not Accurate
02,0300Z,90.0,3.0,30.0,1008.0,02 0300Z,2,0300Z,290,5,29,1008,1009,Not Accurate
02,0400Z,0.0,0.0,31.0,1009.0,02 0400Z,2,0400Z,290,8,29,1009,1010,Not Accurate
02,0500Z,140.0,4.0,33.0,1009.0,02 0500Z,2,0500Z,290,9,29,1009,1010,Not Accurate
02,0600Z,200.0,6.0,35.0,1009.0,02 0600Z,2,0600Z,320,9,30,1008,1009,Not Accurate
02,0700Z,260.0,9.0,35.0,1008.0,02 0700Z,2,0700Z,300,8,31,1008,1009,Not Accurate
02,0800Z,250.0,11.0,34.0,1007.0,02 0800Z,2,0800Z,280,17,31,1007,1008,Not Accurate
02,0900Z,270.0,8.0,34.0,1006.0,02 0900Z,2,0900Z,290,18,31,1006,1007,Not Accurate
02,1000Z,260.0,12.0,33.0,1006.0,02 1000Z,2,1000Z,300,12,30,1007,1008,Not Accurate
02,1100Z,280.0,8.0,32.0,1006.0,02 1100Z,2,1100Z,300,17,30,1006,1007,Not Accurate
02,1300Z,270.0,5.0,30.0,1007.0,02 1300Z,2,1300Z,310,8,29,1007,1008,Not Accurate
02,1400Z,260.0,5.0,30.0,1008.0,02 1400Z,2,1400Z,320,7,29,1007,1008,Not Accurate
02,1500Z,0.0,0.0,30.0,1009.0,02 1500Z,2,1500Z,330,7,29,1008,1009,Not Accurate
02,1600Z,0.0,0.0,30.0,1009.0,02 1600Z,2,1600Z,320,8,28,1008,1009,Not Accurate
02,1700Z,0.0,0.0,30.0,1010.0,02 1700Z,2,1700Z,320,6,28,1009,1010,Not Accurate
02,1800Z,240.0,3.0,30.0,1009.0,02 1800Z,2,1800Z,340,6,28,1009,1010,Not Accurate
02,1900Z,240.0,4.0,30.0,1009.0,02 1900Z,2,1900Z,330,5,28,1008,1009,Not Accurate
02,2000Z,200.0,4.0,29.0,1009.0,02 2000Z,2,2000Z,330,5,28,1007,1008,Not Accurate
