,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
0,VABB,02/0400,020430Z,020830Z,180,17KT,27KT,,FCST
1,VABB,02/0800,020830Z,021230Z,200,17KT,27KT,,FCST
2,VABB,02/1200,021230Z,021630Z,200,17KT,27KT,,FCST
3,VABB,02/1200,021230Z,021630Z,,,,TSRA,FCST
4,VABB,02/1700,021730Z,022130Z,180,17KT,30KT,,FCST
5,VABB,02/2100,022130Z,030130Z,140,17KT,27KT,,FCST
6,VABB,03/0230,030300Z,030700Z,180,17KT,27KT,,FCST
7,VABB,04/0400,040430Z,040830Z,200,17KT,27KT,,FCST
8,VABB,06/0730,060800Z,061200Z,230,17KT,27KT,,FCST
9,VABB,08/0845,080900Z,081330Z,290,17KT,27KT,,FCST
10,VABB,15/1530,151530Z,151930Z,160,17KT,27KT,,OBS
11,VABB,16/1200,161230Z,161630Z,70,17KT,27KT,TSRA,FCST
12,VABB,21/1100,211130Z,211530Z,140,17KT,27KT,TSRA,FCST
13,VABB,22/1230,221300Z,221700Z,70,17KT,27KT,TSRA,FCST
14,VABB,23/1415,231400Z,231830Z,230,17KT,27KT,TSRA,OBS
15,VABB,23/1745,231800Z,232230Z,,,,TSRA,FCST
16,VABB,24/0515,240530Z,240930Z,90,17KT,27KT,,FCST
17,VABB,24/1330,241400Z,241800Z,70,17KT,27KT,TSRA,FCST
18,VABB,24/1730,241800Z,242200Z,160,17KT,27KT,TSRA,FCST
19,VABB,25/0615,250630Z,251100Z,160,17KT,27KT,,FCST
20,VABB,25/0730,250800Z,251200Z,140,17KT,27KT,TSRA,FCST
21,VABB,25/1130,251200Z,251600Z,230,17KT,27KT,TSRA,FCST
22,VABB,26/0600,260630Z,261030Z,140,17KT,27KT,,FCST
23,VABB,26/0830,260900Z,261300Z,,,,TSRA,FCST
24,VABB,26/1000,261030Z,261430Z,180,17KT,27KT,,FCST
25,VABB,26/1230,261300Z,261700Z,180,17KT,27KT,TSRA,FCST
26,VABB,26/1630,261700Z,262100Z,140,17KT,27KT,TSRA,FCST
27,VABB,26/2045,262100Z,270130Z,140,17KT,27KT,,FCST
28,VABB,27/0400,270430Z,270830Z,160,17KT,27KT,,FCST
29,VABB,27/0800,270830Z,271230Z,180,17KT,27KT,,FCST
30,VABB,27/1200,271230Z,271630Z,230,17KT,27KT,,FCST
31,VABB,27/1600,271630Z,272030Z,140,17KT,27KT,,FCST
32,VABB,28/1130,281200Z,281600Z,180,17KT,27KT,TSRA,FCST
33,VABB,28/1530,281600Z,282000Z,180,17KT,27KT,TSRA,FCST
34,VABB,28/1945,282000Z,290000Z,140,17KT,27KT,,FCST
35,VABB,29/0015,290030Z,290430Z,140,17KT,27KT,,FCST
36,VABB,29/0545,290600Z,291030Z,180,17KT,27KT,,FCST
37,VABB,29/0945,291000Z,291430Z,200,17KT,,,FCST
38,VABB,29/1345,291400Z,291830Z,160,17KT,27KT,,FCST
39,VABB,29/1800,291800Z,292230Z,140,17KT,27KT,,FCST
40,VABB,29/2130,292200Z,300200Z,140,17KT,27KT,,FCST
41,VABB,30/0200,300230Z,300630Z,230,17KT,27KT,,FCST
42,VABB,30/0930,301000Z,301400Z,200,17KT,27KT,,FCST
43,VABB,30/1330,301400Z,301800Z,160,17KT,27KT,,FCST
44,VABB,30/2130,302200Z,310200Z,160,17KT,27KT,,FCST
45,VABB,31/0130,310200Z,310600Z,160,17KT,27KT,TSRA,FCST
46,VABB,31/0530,310600Z,311000Z,180,17KT,27KT,,FCST
47,VABB,31/1630,311630Z,312030Z,160,17KT,27KT,,OBS
48,VABB,31/2145,312130Z,010200Z,180,17KT,27KT,,OBS
